date,action,confidence,veto,target,return
2018-04-12 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-13 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-04-14 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-04-15 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-04-16 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-04-17 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-18 00:00:00+00:00,LONG,0.8042578260254197,,1,0.1268597120789055
2018-04-19 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-20 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-21 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-22 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-23 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-24 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-04-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-26 00:00:00+00:00,NO_TRADE,0.0,['whale_misalignment:whale_reducing'],1,0.0
2018-04-27 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-04-28 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-04-29 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-04-30 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-01 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-02 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-03 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-04 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-05 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-06 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-07 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-08 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-09 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
