date,regime,action,tier,confidence,veto,position_size,actual_target,strategy_return,market_return
2023-04-25 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.03612251731478945
2023-04-26 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.0041630060229543775
2023-04-27 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.0013786736276378295
2023-04-28 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.0016178536737081535
2023-04-29 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.03096822869611585
2023-04-30 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.03299862589580124
2023-05-01 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.012785254296270906
2023-05-02 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.026469561662565044
2023-05-03 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.032608142549828634
2023-05-04 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.020521302297787293
2023-05-05 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.010557697853733367
2023-05-06 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.039234970812107965
2023-05-07 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.034393354698422474
2023-05-08 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.004009187741262125
2023-05-09 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.016036860098252725
2023-05-10 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.04174707877056398
2023-05-11 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.007327955748532195
2023-05-12 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.015596176926265448
2023-05-13 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.012608805296153035
2023-05-14 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.00792189735308468
2023-05-15 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.006306954708793061
2023-05-16 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0011514838848830813
2023-05-17 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0026345800567333043
2023-05-18 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.000436589817960444
2023-05-19 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.002522489070134001
2023-05-20 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0014435649622631845
2023-05-21 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.019925233256831664
2023-05-22 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.0011586251041127843
2023-05-23 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.031540270531074145
2023-05-24 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.0020252260073131793
2023-05-25 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.019733762499610612
2023-05-26 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.016758580246602116
2023-05-27 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.03797256195106098
2023-05-28 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.02892251776439251
2023-05-29 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.013501206407572644
2023-05-30 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.02069461813124896
2023-05-31 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.008323714496605019
2023-06-01 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.018963303077040493
2023-06-02 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.005751619532629789
2023-06-03 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.024628112781133468
2023-06-04 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.03518103804066396
2023-06-05 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.004844371299313812
2023-06-06 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.0052556877507775705
2023-06-07 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.01169957257237324
2023-06-08 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.04345137413299785
2023-06-09 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.04865323293871495
2023-06-10 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.014376626790023517
2023-06-11 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0060207529746533215
2023-06-12 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.006020196705875212
2023-06-13 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.056522012965861214
2023-06-14 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.029867761886964512
2023-06-15 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.05000207682982256
2023-06-16 00:00:00+00:00,R3,NO_TRADE,,0.034854803572243125,Below beta threshold (0.035 < 0.55),0.0,1,0.0,0.030629675437375322
2023-06-17 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0038532199410997157
2023-06-18 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.006513855508551601
2023-06-19 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.061841135021977856
2023-06-20 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.08581765286595269
