block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count
2023-02-23 00:00:00+00:00,18,1.0498,0.585,1.0,78,451805.3205,-40652.5846,0.415,49,187495.1883,9930.076498,135364.8111,128945.321,-6419.4901,78,451805.3205,11
2023-02-24 00:00:00+00:00,20,10.8128,0.4275,1.0,87,514111.1941,-62704.7953,0.5725,60,294307.0163,13807.107644,201196.8865,18607.2913,-182589.5951,87,514111.1941,7
2023-02-25 00:00:00+00:00,9,5.0189,0.0992,0.9723,57,314542.8699,-69735.613,0.9008,53,291422.9858,11113.823294,26761.1159,5332.0918,-21429.0241,66,323516.1934,4
2023-02-26 00:00:00+00:00,14,1.452,0.3853,1.0,55,409537.7675,-56118.6108,0.6147,35,251735.7147,12550.760743,93445.8309,64356.2219,-29089.609,55,409537.7675,6
2023-02-27 00:00:00+00:00,14,0.7121,0.4619,1.0,79,735700.9306,-45047.625,0.5381,55,395861.1895,15973.487354,141345.7744,198493.9666,57148.1922,79,735700.9306,10
2023-02-28 00:00:00+00:00,11,1.4254,0.1635,1.0,91,348665.9505,-45407.1736,0.8365,72,291647.5855,4969.861196,33509.037,23509.328,-9999.7089,91,348665.9505,8
2023-03-01 00:00:00+00:00,19,2.7839,0.1225,1.0,83,458227.464,-31263.8594,0.8775,57,402086.4302,25951.857761,41304.4073,14836.6265,-26467.7808,83,458227.464,7
2023-03-02 00:00:00+00:00,26,1.544,0.5207,1.0,84,385121.8464,-36473.6162,0.4793,45,184571.193,9409.26437,121719.2204,78831.433,-42887.7874,84,385121.8464,13
2023-03-03 00:00:00+00:00,20,0.8633,0.4345,1.0,90,541068.7871,-7925.4406,0.5655,58,305965.5862,10203.690758,108927.7836,126175.4173,17247.6338,90,541068.7871,12
2023-03-04 00:00:00+00:00,5,1.4403,0.2495,1.0,52,228490.3629,-6333.4799,0.7505,39,171485.6285,5155.424847,33645.0168,23359.7176,-10285.2993,52,228490.3629,8
2023-03-05 00:00:00+00:00,6,0.7742,0.2807,1.0,47,122420.4238,-1553.1201,0.7193,32,88061.1607,2356.684872,14993.1768,19366.0863,4372.9095,47,122420.4238,9
2023-03-06 00:00:00+00:00,14,1.1836,0.4689,1.0,76,524295.8511,-12669.7112,0.5311,58,278437.4797,11287.838737,133263.1585,112595.213,-20667.9455,76,524295.8511,4
2023-03-07 00:00:00+00:00,16,0.5863,0.3569,1.0,78,318989.8465,-6999.7575,0.6431,52,205145.6101,6611.521017,42077.1346,71767.1019,29689.9673,78,318989.8465,10
2023-03-08 00:00:00+00:00,19,3.668,0.2512,1.0,73,474031.0585,-12939.4035,0.7488,47,354977.8492,11701.008993,93549.2563,25503.953,-68045.3033,73,474031.0585,7
2023-03-09 00:00:00+00:00,22,1.4125,0.5419,1.0,95,535592.3716,-13902.553,0.4581,51,245350.2711,7954.131293,169935.9671,120306.1334,-49629.8337,95,535592.3716,22
2023-03-10 00:00:00+00:00,26,1.0201,0.4115,1.0,111,743281.4433,-16802.1567,0.5885,70,437403.621,8832.054627,154463.707,151414.1153,-3049.5917,111,743281.4433,15
2023-03-11 00:00:00+00:00,30,2.2577,0.5329,1.0,184,2091390.9372,-76801.2229,0.4671,138,976906.4839,31346.067754,772381.6083,342102.8451,-430278.7632,184,2091390.9372,16
2023-03-12 00:00:00+00:00,20,2.2272,0.3337,1.0,104,869231.3819,-93182.6462,0.6663,76,579175.5863,16064.427112,200176.4245,89879.371,-110297.0535,104,869231.3819,8
2023-03-13 00:00:00+00:00,30,1.6413,0.3844,1.0,141,953292.2765,-102938.897,0.6156,100,586893.9087,7170.442297,227680.0343,138718.3336,-88961.7007,141,953292.2765,11
2023-03-14 00:00:00+00:00,34,1.4902,0.4878,1.0,139,965056.7598,-120418.3135,0.5122,84,494349.4293,6906.123514,281686.6396,189020.691,-92665.9486,139,965056.7598,21
2023-03-15 00:00:00+00:00,30,2.1591,0.5763,1.0,106,902159.3974,-137949.7723,0.4237,61,382243.0963,8018.055424,355340.9079,164575.3932,-190765.5147,106,902159.3974,15
2023-03-16 00:00:00+00:00,22,1.3642,0.5069,1.0,88,489957.1097,-136325.8308,0.4931,54,241590.8593,7247.432945,143314.2468,105052.0036,-38262.2432,88,489957.1097,12
2023-03-17 00:00:00+00:00,20,2.6298,0.3077,1.0,107,626036.2706,-148245.7665,0.6923,81,433413.1773,5527.540485,139556.1176,53066.9757,-86489.1418,107,626036.2706,6
2023-03-18 00:00:00+00:00,20,1.2712,0.584,1.0,92,685936.3117,-93610.9881,0.416,62,285320.7948,9396.587181,224225.4155,176390.1014,-47835.3141,92,685936.3117,10
2023-03-19 00:00:00+00:00,13,0.4667,0.3578,1.0,68,284788.5985,-72561.196,0.6422,45,182899.0113,4886.395018,32419.0482,69470.539,37051.4908,68,284788.5985,10
2023-03-20 00:00:00+00:00,20,2.2714,0.409,1.0,93,558493.8543,-72536.0916,0.591,60,330045.4546,6607.704605,158617.1845,69831.2152,-88785.9693,93,558493.8543,13
2023-03-21 00:00:00+00:00,24,1.6127,0.5157,1.0,86,492623.0908,-67808.4273,0.4843,51,238594.2862,6664.735823,156800.5519,97228.2527,-59572.2992,86,492623.0908,11
2023-03-22 00:00:00+00:00,23,0.7171,0.5079,1.0,100,1680053.9234,-20474.9341,0.4921,63,826807.9077,46866.758036,356338.5389,496907.4768,140568.9378,100,1680053.9234,14
2023-03-23 00:00:00+00:00,28,0.6384,0.6528,1.0,96,756375.9473,559.4609,0.3472,52,262591.1069,8517.254104,192403.1591,301381.6813,108978.5221,96,756375.9473,16
2023-03-24 00:00:00+00:00,18,1.1563,0.5154,1.0,80,705168.1118,9152.2402,0.4846,50,341711.6714,8738.07759,194898.0637,168558.3767,-26339.687,80,705168.1118,12
2023-03-25 00:00:00+00:00,11,0.7117,0.1722,1.0,57,411663.4441,17691.077,0.8278,43,340789.296,9449.363939,29468.8024,41405.3458,11936.5435,57,411663.4441,3
2023-03-26 00:00:00+00:00,10,0.4097,0.4081,1.0,51,231964.6274,18060.961,0.5919,37,137296.9379,6827.357981,27513.5051,67154.1844,39640.6793,51,231964.6274,4
2023-03-27 00:00:00+00:00,16,1.5462,0.3988,1.0,83,618412.1567,23186.5332,0.6012,60,371793.5581,8159.96462,149762.7812,96855.8174,-52906.9638,83,618412.1567,7
2023-03-28 00:00:00+00:00,21,1.3278,0.3674,1.0,78,519564.0467,27856.2635,0.6326,50,328653.9783,10319.524128,108897.1277,82012.9407,-26884.1871,78,519564.0467,7
2023-03-29 00:00:00+00:00,26,1.4209,0.4959,1.0,100,469737.4856,1989.3752,0.5041,62,236777.4711,7194.620796,136729.6477,96230.3668,-40499.2809,100,469737.4856,12
2023-03-30 00:00:00+00:00,21,1.7906,0.4335,1.0,80,318641.3076,-19169.8621,0.5665,54,180502.6369,4585.483491,88637.4047,49501.266,-39136.1387,80,318641.3076,5
2023-03-31 00:00:00+00:00,10,1.007,0.3308,1.0,76,710459.9304,-15524.2378,0.6692,60,475449.8102,7892.889065,117915.2187,117094.9015,-820.3171,76,710459.9304,6
2023-04-01 00:00:00+00:00,13,1.9156,0.4348,1.0,54,298208.0251,-23046.0226,0.5652,39,168549.3641,7040.985391,85187.3054,44471.3556,-40715.9498,54,298208.0251,2
2023-04-02 00:00:00+00:00,13,4.4153,0.2042,1.0,52,201635.4526,-32418.4316,0.7958,35,160463.5715,3936.619263,33569.0323,7602.8488,-25966.1835,52,201635.4526,4
2023-04-03 00:00:00+00:00,10,0.4159,0.4188,1.0,74,628545.636,-9344.5789,0.5812,49,365294.3713,7659.242889,77320.6299,185930.6348,108610.0049,74,628545.636,15
2023-04-04 00:00:00+00:00,16,2.564,0.4448,1.0,85,466944.1728,-18524.8543,0.5552,58,259241.3905,5288.231167,149424.4486,58278.3336,-91146.115,85,466944.1728,11
2023-04-05 00:00:00+00:00,13,15.1827,0.5201,1.0,88,1062711.7811,-81946.7245,0.4799,70,509943.2291,49029.430031,518610.4621,34158.09,-484452.3721,88,1062711.7811,5
2023-04-06 00:00:00+00:00,11,4.7431,0.1707,1.0,72,442000.9735,-83379.5598,0.8293,57,366564.5897,5274.101769,62301.185,13135.1988,-49165.9862,72,442000.9735,4
2023-04-07 00:00:00+00:00,7,4.8639,0.1067,1.0,57,228509.4021,-85557.2401,0.8933,49,204130.323,3852.715306,20221.579,4157.5,-16064.079,57,228509.4021,1
2023-04-08 00:00:00+00:00,5,0.1835,0.4671,1.0,45,193554.8488,-70831.3855,0.5329,33,103153.4536,5265.861927,14018.1814,76383.2138,62365.0325,45,193554.8488,7
2023-04-09 00:00:00+00:00,17,10.5835,0.5465,0.961,46,142778.3059,-76718.7553,0.4535,30,67379.1101,4389.789115,74187.4698,7009.6976,-67177.7722,52,148576.2774,5
2023-04-10 00:00:00+00:00,13,0.6478,0.4142,1.0,69,345770.303,-87861.465,0.5858,47,202539.3303,5433.972219,56309.9678,86921.0049,30611.0372,69,345770.303,9
2023-04-11 00:00:00+00:00,13,1.3006,0.2834,1.0,79,342430.391,-76652.1505,0.7166,59,245387.7303,3707.770934,54861.787,42180.8737,-12680.9133,79,342430.391,7
2023-04-12 00:00:00+00:00,22,0.3294,0.5953,1.0,81,886307.6975,30579.7643,0.4047,45,358684.8459,34014.460079,130725.9101,396896.9415,266171.0314,81,886307.6975,14
2023-04-13 00:00:00+00:00,14,0.9241,0.3371,1.0,105,652352.5263,38842.7196,0.6629,72,432466.8703,6504.597169,105605.4776,114280.1785,8674.7009,105,652352.5263,19
2023-04-14 00:00:00+00:00,21,1.1684,0.4069,1.0,126,740254.0336,37796.5294,0.5931,84,439039.3365,5359.660653,162301.054,138913.6431,-23387.4109,126,740254.0336,21
